serial_number_tim,serial_number_forn,createdBy,createdAt,updatedBy,updatedAt,num_consegna,workrequestid,externalrefid,associated_at,associated_by,causale,anomalia,status,wr_prodotti,cod_terr_sap,cod_nmu,codice_impresa_name,impianto,impianto_regman,status_regman,sent_to_sap,cod_proj,mac_address,serial_number_cpe,cod_terr_sap_mos,check_NMU,desc_nmu,tipo_task,flag_olo,check_u0009t,importo_u0009t,NMU WR,tipo_inserimento,client_type,data_completamento_wr,area,codice_riscontro,codice_impresa_utilizzo,descr_impresa_utilizzo,tipo_famiglia,cod_gruppo_tec,File Allegato,contatore,causale_addebito,note_addebito,post_delivery,wr_collaudo_one,impianto_collaudo_one,data_collaudo_one,status_collaudo_one,equivalenza_prod_applicabile,validated_at,validated_by,reverse,note,one_step,approved_at,approved_by
%R051775054N1021144738,N42370260044738,SAP File,2022-01-27T05:46:32.096Z,X1013719,2023-01-31T21:42:55.504Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F944A57,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144516,N42370260044516,SAP File,2022-01-27T05:46:32.049Z,X1013719,2023-01-31T21:42:55.380Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F944AAB,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144514,N42370260044514,SAP File,2022-01-27T05:46:31.971Z,X1013719,2023-01-31T21:42:55.264Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F94435E,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144513,N42370260044513,SAP File,2022-01-27T05:46:31.924Z,X1013719,2023-01-31T21:42:55.150Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F944311,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144511,N42370260044511,SAP File,2022-01-27T05:46:31.877Z,X1013719,2023-01-31T21:42:55.025Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F9443CE,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144508,N42370260044508,SAP File,2022-01-27T05:46:31.815Z,X1013719,2023-01-31T21:42:54.903Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F944453,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144505,N42370260044505,SAP File,2022-01-27T05:46:31.768Z,X1013719,2023-01-31T21:42:54.778Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F944AD5,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144502,N42370260044502,SAP File,2022-01-27T05:46:31.705Z,X1013719,2023-01-31T21:42:54.657Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F944445,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144500,N42370260044500,SAP File,2022-01-27T05:46:31.658Z,X1013719,2023-01-31T21:42:54.548Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F940DC6,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144498,N42370260044498,SAP File,2022-01-27T05:46:31.596Z,X1013719,2023-01-31T21:42:54.437Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F940E28,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144496,N42370260044496,SAP File,2022-01-27T05:46:31.533Z,X1013719,2023-01-31T21:42:54.325Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F940E44,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144493,N42370260044493,SAP File,2022-01-27T05:46:31.487Z,X1013719,2023-01-31T21:42:54.214Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F94443E,,,,MODEM AVM Fritz Box 7590,,,,,,Digitato,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,NON CORRISPONDE MAC ADDRESS,,,
%R051775054N1021144491,N42370260044491,SAP File,2022-01-27T05:46:31.440Z,X1013719,2023-01-31T21:42:54.106Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F940DB1,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144489,N42370260044489,SAP File,2022-01-27T05:46:31.393Z,X1013719,2023-01-31T21:42:53.990Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F940DE9,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144487,N42370260044487,SAP File,2022-01-27T05:46:31.283Z,X1013719,2023-01-31T21:42:53.879Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F940E21,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144485,N42370260044485,SAP File,2022-01-27T05:46:31.237Z,X1013719,2023-01-31T21:42:53.770Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F944350,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144483,N42370260044483,SAP File,2022-01-27T05:46:31.174Z,X1013719,2023-01-31T21:42:53.661Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F940C53,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144479,N42370260044479,SAP File,2022-01-27T05:46:30.815Z,X1013719,2023-01-31T21:42:53.552Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F9408FD,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144475,N42370260044475,SAP File,2022-01-27T05:46:30.674Z,X1013719,2023-01-31T21:42:53.441Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F940DF0,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R051775054N1021144473,N42370260044473,SAP File,2022-01-27T05:46:30.596Z,X1013719,2023-01-31T21:42:53.331Z,8402115778,,,,,,,Attribuito,false,IMSUS014,775054,,,,NO DISCOVERATO SU REGMAN,,,1CED6F940840,,,,MODEM AVM Fritz Box 7590,,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721211N8V,ZTE9G9LM7M30703,SAP File,2022-01-27T05:46:28.080Z,X1013719,2023-01-31T21:42:52.769Z,8402115183,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,44594367DC74,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212OK6,ZTE9G9LM7Q32982,SAP File,2022-01-25T05:47:00.275Z,X1013719,2023-01-31T21:41:57.839Z,8402113625,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD73F4EC,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212VMQ,ZTE9G9LM7Q42146,SAP File,2022-01-25T05:46:59.369Z,X1013719,2023-01-31T21:41:57.731Z,8402113625,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD74841C,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212VMT,ZTE9G9LM7Q42149,SAP File,2022-01-25T05:46:59.306Z,X1013719,2023-01-31T21:41:57.620Z,8402113625,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD748428,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212WAO,ZTE9G9LM7Q43008,SAP File,2022-01-25T05:46:58.791Z,X1013719,2023-01-31T21:41:57.510Z,8402113625,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD749194,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212W8Z,ZTE9G9LM7Q42947,SAP File,2022-01-21T05:45:38.678Z,X1013719,2023-01-31T21:41:38.048Z,8402112088,,,,,,,Attribuito,false,IMSUS014,779931,,,000818382002,DISCOVERATO SU REGMAN,,,C094AD7490A0,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212W25,ZTE9G9LM7Q42701,SAP File,2022-01-19T05:47:18.225Z,X1013719,2023-01-31T21:41:31.138Z,8402111253,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD748CC8,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212W3K,ZTE9G9LM7Q42752,SAP File,2022-01-19T05:47:18.116Z,X1013719,2023-01-31T21:41:31.020Z,8402111253,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD748D94,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212W3P,ZTE9G9LM7Q42757,SAP File,2022-01-19T05:47:17.991Z,X1013719,2023-01-31T21:41:30.894Z,8402111253,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD748DA8,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212W3S,ZTE9G9LM7Q42760,SAP File,2022-01-19T05:47:17.944Z,X1013719,2023-01-31T21:41:30.777Z,8402111253,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD748DB4,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212W48,ZTE9G9LM7Q42776,SAP File,2022-01-19T05:47:17.835Z,X1013719,2023-01-31T21:41:30.661Z,8402111253,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD748DF4,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212W4D,ZTE9G9LM7Q42781,SAP File,2022-01-19T05:47:17.788Z,X1013719,2023-01-31T21:41:30.546Z,8402111253,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD748E08,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212W8J,ZTE9G9LM7Q42931,SAP File,2022-01-19T05:47:17.725Z,X1013719,2023-01-31T21:41:30.436Z,8402111253,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD749060,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721211YL1,ZTE9G9LM7M45397,SAP File,2022-01-19T05:46:52.336Z,X1013719,2023-01-31T21:41:27.214Z,8402109376,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,44594368C20C,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721211Z3Z,ZTE9G9LM7M46079,SAP File,2022-01-19T05:46:51.836Z,X1013719,2023-01-31T21:41:27.105Z,8402109376,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,44594368CCB4,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721212IA2,ZTE9G9LM7Q24842,SAP File,2022-01-19T05:46:51.773Z,X1013719,2023-01-31T21:41:26.994Z,8402109376,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD7375BC,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212116N3,ZTE9G9LM7M09183,SAP File,2022-01-19T05:46:50.596Z,X1013719,2023-01-31T21:41:26.777Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,445943668C34,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212115RK,ZTE9G9LM7M08048,SAP File,2022-01-19T05:46:50.549Z,X1013719,2023-01-31T21:41:26.668Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,445943667A78,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113GV,ZTE9G9LM7M05071,SAP File,2022-01-19T05:46:50.486Z,X1013719,2023-01-31T21:41:26.559Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,445943664BF4,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113EX,ZTE9G9LM7M05001,SAP File,2022-01-19T05:46:50.393Z,X1013719,2023-01-31T21:41:26.449Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,445943664ADC,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113ER,ZTE9G9LM7M04995,SAP File,2022-01-19T05:46:50.299Z,X1013719,2023-01-31T21:41:26.308Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,445943664AC4,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113E7,ZTE9G9LM7M04975,SAP File,2022-01-19T05:46:49.908Z,X1013719,2023-01-31T21:41:26.192Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,445943664A74,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113E0,ZTE9G9LM7M04968,SAP File,2022-01-19T05:46:49.862Z,X1013719,2023-01-31T21:41:26.078Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,445943664A58,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113DX,ZTE9G9LM7M04965,SAP File,2022-01-19T05:46:49.799Z,X1013719,2023-01-31T21:41:25.954Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,000633979488,NO DISCOVERATO SU REGMAN,,,445943664A4C,,,,"TIM HUB  ZTE E C ",,,,,,Scansionato,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113DR,ZTE9G9LM7M04959,SAP File,2022-01-19T05:46:49.736Z,X1013719,2023-01-31T21:41:25.825Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,445943664A34,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113BX,ZTE9G9LM7M04893,SAP File,2022-01-19T05:46:49.346Z,X1013719,2023-01-31T21:41:25.709Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,44594366492C,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113BK,ZTE9G9LM7M04880,SAP File,2022-01-19T05:46:49.299Z,X1013719,2023-01-31T21:41:25.589Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436648F8,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212113AY,ZTE9G9LM7M04858,SAP File,2022-01-19T05:46:49.190Z,X1013719,2023-01-31T21:41:25.479Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436648A0,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721210FP7,ZTE9G9LM7G20347,SAP File,2022-01-19T05:46:49.143Z,X1013719,2023-01-31T21:41:25.371Z,8402108211,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,C094AD6A44D8,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N07212111SX,ZTE9G9LM7M02913,SAP File,2022-01-19T05:46:43.674Z,X1013719,2023-01-31T21:41:23.395Z,8402107414,,,,,,,Attribuito,false,IMSUS014,779931,,,000903505004,DISCOVERATO SU REGMAN,,,445943662A3C,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,"WR 53936229 ROUTER LIBERO MANCA MOD U009T IN PIU' : ATT	000000 - ROUTER CLIENTE	1	Sola Installazione	VENDITA	11/04/2022 12:58 PRIMO INVIO ",,,
%R091779931N07212115HZ,ZTE9G9LM7M07703,SAP File,2022-01-19T05:46:43.580Z,X1013719,2023-01-31T21:41:23.280Z,8402107414,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,445943667514,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721211JV5,ZTE9G9LM7M26321,SAP File,2022-01-14T05:46:42.161Z,X1013719,2023-01-31T21:40:27.739Z,8402106140,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436797FC,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721210EZU,ZTE9G9LM7G19434,SAP File,2022-01-06T05:45:32.214Z,RegmanTool,2023-05-10T04:55:25.315Z,8402103838,,,,,,,Attribuito,false,IMSUS014,779931,,,000090983248,DISCOVERATO SU REGMAN,,,C094AD6A3694,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0721210MXQ,ZTE9G9LM7G29726,SAP File,2022-01-06T05:45:30.917Z,CollaudoOneTool_Process_PostProcess,2023-05-21T06:18:17.883Z,8402103838,,,,,,,Attribuito,false,IMSUS014,779931,,,000954198645,DISCOVERATO SU REGMAN,,,C094AD6AD764,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,66616354,000957494089,2023-05-20T18:16:37.000Z,DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N082121494W,ZTE9G9LM8P13376,SAP File,2021-12-28T05:47:01.277Z,X1013719,2023-01-31T21:37:31.898Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436B2458,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N082121494Z,ZTE9G9LM8P13379,SAP File,2021-12-28T05:47:01.074Z,X1013719,2023-01-31T21:37:31.769Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436B2464,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N082121495N,ZTE9G9LM8P13403,SAP File,2021-12-28T05:47:00.855Z,X1013719,2023-01-31T21:37:31.650Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436B24C4,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N082121493O,ZTE9G9LM8P13332,SAP File,2021-12-28T05:47:00.324Z,X1013719,2023-01-31T21:37:31.526Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436B23A8,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N082121457J,ZTE9G9LM8P08287,SAP File,2021-12-28T05:46:59.433Z,X1013719,2023-01-31T21:37:31.402Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436AD4D4,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N0821214588,ZTE9G9LM8P08312,SAP File,2021-12-28T05:46:58.464Z,X1013719,2023-01-31T21:37:31.285Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436AD538,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N08212141KL,ZTE9G9LM8P03573,SAP File,2021-12-28T05:46:58.292Z,X1013719,2023-01-31T21:37:31.149Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436A8B2C,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N08212141KM,ZTE9G9LM8P03574,SAP File,2021-12-28T05:46:58.199Z,X1013719,2023-01-31T21:37:31.017Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436A8B30,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N08212141KO,ZTE9G9LM8P03576,SAP File,2021-12-28T05:46:58.136Z,X1013719,2023-01-31T21:37:30.907Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436A8B38,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N08212141KQ,ZTE9G9LM8P03578,SAP File,2021-12-28T05:46:58.089Z,X1013719,2023-01-31T21:37:30.793Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436A8B40,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R091779931N08212141KR,ZTE9G9LM8P03579,SAP File,2021-12-28T05:46:58.042Z,X1013719,2023-01-31T21:37:30.660Z,8402102346,,,,,,,Attribuito,false,IMSUS014,779931,,,,NO DISCOVERATO SU REGMAN,,,4459436A8B44,,,,"TIM HUB  ZTE E C ",,,,,,,,,,,,,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
